stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4563,0593,Галицьке перехрестя (593),"вул. Б. Хмельницького, 273",49.873515,24.060214
4564,0575,Чигиринська (575),"вул. Б. Грінченка, 2А",49.870597,24.055590
4565,,"Винники, Джерельна (1033)","Винники, вул. Забава, 70",49.805820,24.121041
4566,0634,Плугова (634),"вул. Гетьмана Мазепи, 27",49.872571,24.043770
4567,0632,Лікарня швидкої допомоги (632),"вул. Гетьмана Мазепи, 21",49.871788,24.039196
4568,0638,Орлика (638),"вул. Гетьмана Мазепи, 13Б",49.870518,24.031278
4569,0637,Мазепи (637),"вул. Гетьмана Мазепи, 3А",49.869529,24.025372
4570,0648,Замарстинів (648),"вул. Замарстинівська, 172",49.870371,24.020558
4571,0612,Варшавська (612),пр.В.Чорновола 103,49.866382,24.016194
4572,0611,Парк 700-річчя Львова (611),пр. В. Чорновола 67,49.861645,24.018704
4573,0610,Шевченківська РА (610),"пр. В. Чорновола, 61",49.857668,24.020845
4574,0609,Шевченківська РА (609),пр. В. Чорновола 57,49.855960,24.021875
4575,0608,Хімічна (608),пр. В. Чорновола 43,49.854270,24.022720
4576,0054,Куліша (54),вул. П. Куліша 45,49.849371,24.024314
4577,0060,Церква Анни (60),вул. Бенедиктовича,49.842030,24.015512
4578,0017,Цирк (17),вул. Городоцька 44,49.840585,24.012976
4579,0094,Кропивницького (94),вул. Городоцька 94,49.837724,24.005531
4580,0528,Кропивницького (528),пл. Кропивницького 8,49.836253,24.004338
4581,0491,пл Липнева (491),вул. Героїв УПА 30,49.833433,24.001356
4582,0492,Смаль-Стоцького (492),"вул. Героїв УПА, 76",49.830564,23.995525
4583,0493,Копистинського (493),"вул. Героїв УПА, 80",49.829066,23.992118
4584,0531,Антоновича (531),"вул. Кульпарківська, 66",49.826534,23.989846
4585,,Кульпарків (137),"вул. Кульпарківська, 118",49.819294,23.987870
4586,0136,Скнилівок (136),"вул. Кульпарківська, 105",49.813453,23.984670
4587,0138,Щирецька (138),вул. Кульпарківська 212,49.809472,23.982446
4588,0551,Наукова (551),"вул. Наукова (вул. Кульпарківська, 141)",49.805353,23.982543
4589,,"Винники, Стадіон (1029)","Винники, вул.І. Франка, 115а",49.805669,24.137145
4590,0540,Клуб Науковий (540),вул. Наукова 29,49.804283,23.993186
4591,0548,Центр зайнятості (548),"вул. Наукова, 35А",49.803952,23.996512
4592,0550,Княгині Ольги (550),вул. Наукова 7А,49.803483,24.000975
4593,0538,Тролейбусна (538),вул. Наукова 5,49.802881,24.006774
4594,0537,Підстригача (537),"вул. Наукова, 3",49.802259,24.013520
4595,0445,Стрийська-Наукова (445),"вул. Хуторівка (вул. Стрийська, 47)",49.801729,24.018736
4596,0441,Демнянська (441),"вул. Хуторівка, 8",49.800311,24.030495
4597,0440,Духовна семінарія (440),вул. Хуторівка 4,49.799861,24.035468
4598,0449,ТЦ Шувар (449),"пр. Червоної Калини, 36",49.799103,24.047908
4599,0451,Дитяча поліклініка (451),"просп. Червоної Калини, 46",49.797150,24.051470
4600,0453,Сихівська РА (453),"пр. Червоної Калини, 62",49.791970,24.058272
4601,0454,Коломийська (454),"пр. Червоної Калини, 76",49.788657,24.058693
4602,0457,Санта Барбара (457),"пр. Червоної Калини, 94",49.785426,24.058811
4603,,Скрипника (418),вул. М. Скрипника 39,49.786002,24.051712
