route_id,service_id,trip_id,direction_id,trip_headsign,block_id,shape_id,wheelchair_accessible,bikes_allowed
140,31,10732_0_0,0,Санта Барбара (459),10732,79,0,0
140,31,10732_0_1,1,Суботівська (177),10732,80,0,0
140,31,10732_1_0,0,Санта Барбара (459),10732,79,0,0
140,31,10732_1_1,1,Суботівська (177),10732,80,0,0
140,31,10732_2_0,0,Санта Барбара (459),10732,79,0,0
140,31,10732_2_1,1,Суботівська (177),10732,80,0,0
140,31,10732_3_0,0,Санта Барбара (459),10732,79,0,0
140,31,10732_3_1,1,Суботівська (177),10732,80,0,0
140,31,10732_4_0,0,Санта Барбара (459),10732,79,0,0
140,31,10732_4_1,1,Суботівська (177),10732,80,0,0
140,31,10732_5_0,0,Санта Барбара (459),10732,79,0,0
140,31,10732_5_1,1,Суботівська (177),10732,80,0,0
140,31,10732_6_0,0,Санта Барбара (459),10732,79,0,0
140,31,10732_6_1,1,Суботівська (177),10732,80,0,0
140,31,10733_0_0,0,Санта Барбара (459),10733,79,0,0
140,31,10733_0_1,1,Суботівська (177),10733,80,0,0
140,31,10733_1_0,0,Санта Барбара (459),10733,79,0,0
140,31,10733_1_1,1,Суботівська (177),10733,80,0,0
140,31,10733_2_0,0,Санта Барбара (459),10733,79,0,0
140,31,10733_2_1,1,Суботівська (177),10733,80,0,0
140,31,10733_3_0,0,Санта Барбара (459),10733,79,0,0
140,31,10733_3_1,1,Суботівська (177),10733,80,0,0
140,31,10733_4_0,0,Санта Барбара (459),10733,79,0,0
140,31,10733_4_1,1,Суботівська (177),10733,80,0,0
140,31,10733_5_0,0,Санта Барбара (459),10733,79,0,0
140,31,10733_5_1,1,Суботівська (177),10733,80,0,0
140,31,10733_6_0,0,Санта Барбара (459),10733,79,0,0
140,31,10733_6_1,1,Суботівська (177),10733,80,0,0
140,31,10734_0_0,0,Санта Барбара (459),10734,79,0,0
140,31,10734_0_1,1,Суботівська (177),10734,80,0,0
140,31,10734_1_0,0,Санта Барбара (459),10734,79,0,0
140,31,10734_1_1,1,Суботівська (177),10734,80,0,0
