stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4563,0593,Галицьке перехрестя (0593),вул. Хмельницького Богдана 273,49.873522,24.060016
4564,0575,Чигиринська (0575),вул. Грінченка Бориса 2А,49.870597,24.055590
4566,0634,Плугова (0634),вул. Гетьмана Івана Мазепи 27,49.872571,24.043770
4567,0632,Лікарня швидкої допомоги (0632),вул. Гетьмана Івана Мазепи 21,49.871788,24.039196
4568,0638,Орлика (0638),вул. Гетьмана Івана Мазепи 13Б,49.870570,24.031429
4569,0637,Мазепи (0637),вул. Гетьмана Івана Мазепи 3А,49.869584,24.025490
4570,0648,Замарстинів (0648),вул. Замарстинівська 172,49.870307,24.020668
4571,0612,Варшавська (0612),пр. Чорновола В'ячеслава 103,49.866382,24.016194
4572,0611,Парк 700-річчя Львова (0611),просп. Чорновола В'ячеслава 67,49.861645,24.018704
4573,0610,Шевченківська РА (0610),пр. Чорновола В'ячеслава 61,49.857844,24.020716
4574,0609,Шевченківська РА (0609),пр. Чорновола В'ячеслава 57,49.855960,24.021875
4575,0608,Хімічна (0608),просп. Чорновола В'ячеслава 43,49.854270,24.022720
4576,0054,Куліша (0054),вул. Куліша Пантелеймона 45,49.849371,24.024314
4578,0017,Цирк (0017),вул. Городоцька 44,49.840585,24.012976
4579,0094,Кропивницького (0094),вул. Городоцька 94,49.837724,24.005531
4580,0528,Кропивницького (0528),пл. Кропивницького Марка 8,49.836253,24.004338
4581,0491,пл Липнева (0491),вул. Героїв УПА 30,49.833433,24.001356
4582,0492,Смаль-Стоцького (0492),вул. Героїв УПА 76,49.830621,23.995466
4583,0493,Копистинського (0493),вул. Героїв УПА 80,49.829159,23.992220
4584,0531,Антоновича (0531),вул. Кульпарківська 66,49.826540,23.989774
4585,,Кульпарків (0136),вул. Кульпарківська 118,49.819341,23.987821
4586,0136,Скнилівок (0136),вул. Кульпарківська 105,49.813571,23.984731
4587,0138,Щирецька (0138),вул. Кульпарківська 212,49.809625,23.982500
4588,0551,Наукова (0551),"вул. Наукова (вул. Кульпарківська, 141)",49.805353,23.982543
4590,0540,Клуб Науковий (0540),вул. Наукова 29,49.804307,23.992837
4591,0548,Центр зайнятості (0548),вул. Наукова 35А,49.803930,23.996399
4592,0550,Княгині Ольги (0550),вул. Наукова 7А,49.803483,24.000975
4593,0538,Тролейбусна (0538),вул. Наукова 5,49.802881,24.006774
4594,0537,Підстригача (0537),вул. Наукова 3,49.802259,24.013520
4595,0445,Стрийська-Наукова (0445),"вул. Хуторівка (вул. Стрийська, 47)",49.801729,24.018736
4596,0441,Демнянська (0441),вул. Хуторівка 8,49.800311,24.030495
4597,0440,Духовна семінарія (0440),вул. Хуторівка 4,49.799806,24.035447
4598,0449,ТЦ Шувар (0449),"пр. Червоної Калини, 36",49.799103,24.047908
4599,0451,Дитяча поліклініка (0451),,49.797150,24.051470
4600,0453,Сихівська РА (0453),,49.791970,24.058272
4601,0454,Коломийська (0454),"просп. Червоної Калини, 76",49.788657,24.058693
4602,0457,Санта Барбара (висадка) (0457),,49.785426,24.058811
4603,,Скрипника (418),вул. Скрипника Миколи 39,49.786002,24.051712
4604,0459,Санта Барбара (0459),"пр. Червоної Калини, 109",49.785576,24.059313
4605,0458,Коломийська (0458),"пр. Червоної Калини, 97",49.787467,24.059200
4606,0456,Поліклініка №4 (0456),"просп. Червоної Калини, 91",49.790669,24.059168
4607,0455,Центр Довженка (0455),"пр. Червоної Калини, 81",49.794657,24.057532
4608,0452,Дитяча поліклініка (0452),"пр. Червоної Калини, 59",49.796501,24.053698
4609,0450,Шувар (0450),"просп. Червоної Калини, 49",49.799106,24.048804
