stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_region
4622,0532,Кульпарків (532),"вул. Кульпарківська, 95",49.818638,23.987741,Франківський
5106,0490,Фабрика Левинського (0490),"вул. Генерала Чупринки, 55а",49.830225,24.007981,Галицький
4660,1053,"Брюховичі, Арктична (1053)",вул. В. Івасюка 19,49.901120,23.935840,Шевченківський
4575,0608,Хімічна (608),пр. В. Чорновола 43,49.854270,24.022720,Шевченківський
4686,0486,Океан (486),"вул. Володимира Великого (вул. Кн.Ольги, 106)",49.810497,23.998132,Франківський
4783,0662,Щурата (662),вул. І. Миколайчука (навпроти № 28),49.878784,24.036520,Шевченківський
42730,0678,Липинського (678),вул. Промислова (перехрестя з вул. Городницькою),49.864230,24.044376,Шевченківський
5121,0414,Станція Персенківка (0414),вул. Луганська,49.809791,24.030662,Сихівський
5018,1107,Рудне. Лесі Українки (1107),вул. Л. Українки,49.839690,23.886978,Залізничний
4957,0525,Аркаса (525),"вул. Княгині Ольги, 100-Л",49.817358,24.003038,Франківський
4795,0177,Суботівська (177),"вул. Суботівська, 13",49.847456,23.965589,Залізничний
44076,0776,Тунельна (776),"вул. Тунельна, 18",49.862582,24.003930,Шевченківський
4572,0611,Парк 700-річчя Львова (611),пр. В. Чорновола 67,49.861645,24.018704,Шевченківський
5113,0415,Станція Персенківка (0415),вул. Луганська,49.810033,24.030173,Сихівський
5200,1193,Малехів. Жовківська (1193),с. Малехів вул. Жовківська  до Львова,49.879814,24.061620,Шевченківський
4996,0573,Міртова (0573),вул. А. Лінкольна (навпроти № 4А),49.864477,24.028044,Шевченківський
42769,0028,Стрийський парк (28),"вул. Іларіона Свєніцкого, 5",49.826861,24.034167,Галицький
44179,0795,Шувар (795),"пр. Червоної Калини, 36",49.799581,24.047769,Сихівський
5201,1194,Малехів. Жовківська (1194),с. Малехів вул. Жовківська зі Львова,49.879890,24.061877,Шевченківський
42773,0467,Сахарова (467),"вул. Сахарова, 8",49.831941,24.017293,Галицький
42756,0061,пл. Ринок (61),"пл. Ринок, 14",49.841463,24.032271,Галицький
45067,0764,Духновича (0764),"вул. Кривчицька Дорога, 103",49.847110,24.081460,Личаківський
4774,0180,Сяйво (180),вул. Сяйво 23,49.836671,23.976797,Залізничний
5001,0705,Чорновола (705),пр. В. Чорновола (перед перехрестям з вул. Ваговою),49.845410,24.025113,Галицький
4785,0605,Автостанція №2 (605),вул. В. Липинського (навпроти № 60),49.864889,24.051685,Шевченківський
4829,0178,Поліклініка №3 (178),"вул. Суботівська (вул. Повітряна, 88)",49.845631,23.966734,Залізничний
44699,0788,Коломийська (788),"пр. Червоної Калини, 80",49.788108,24.058924,Сихівський
4951,0512,Горбачевського (0512),вул. Княгині Ольги 1,49.825823,24.009671,Франківський
